"","value","L1"
"49","
			
			
			
				어메이징 스파이더맨
			
			
			잘만들었다 재미있다  좋아요 
			
			
			
				
				
				
				신고
			
			
			",5
"50","
			
			
			
				어메이징 스파이더맨
			
			
			재미있게 잘 봤습니다. 전개의 아쉬움 전작과의 연결성이 주륵이지만 남녀주인공 보는 맛으로 관람했음. 
			
			
			
				
				
				
				신고
			
			
			",5
"51","
			
			
			
				어메이징 스파이더맨
			
			
			뭐할라고 똑같은 영화를 만들었지? 
			
			
			
				
				
				
				신고
			
			
			",6
"52","
			
			
			
				어메이징 스파이더맨
			
			
			개인적으로 어메이징이 더재밌었어.. 
			
			
			
				
				
				
				신고
			
			
			",6
"53","
			
			
			
				어메이징 스파이더맨
			
			
			토비맥과이어가 훨씬 낫다 아무리 대본이라고 해도 가필드 스파이더맨은 ㅈ같다 성격이고 철 안든거하고 
			
			
			
				
				
				
				신고
			
			
			",6
"54","
			
			
			
				어메이징 스파이더맨
			
			
			앤드류가필드 몸 대박섹시함ㅋㅋㅋ 엠마스톤도 이쁘고 
			
			
			
				
				
				
				신고
			
			
			",6
"55","
			
			
			
				어메이징 스파이더맨
			
			
			스파이더맨...진정한 영웅이다! 
			
			
			
				
				
				
				신고
			
			
			",6
"56","
			
			
			
				어메이징 스파이더맨
			
			
			평이한 스토리전개는 아쉽다..500일의 썸머를 연출한 감독답게 로맨스와 히어로를 잘결합시켰다는 점에서는 점수를 높게줄만하다. 
			
			
			
				
				
				
				신고
			
			
			",6
"57","
			
			
			
				어메이징 스파이더맨
			
			
			확실히 옛날 스파이더맨 시리즈가 더 재미있긴한데 그런대로 이것도 타임킬링으로 볼만한 영화 
			
			
			
				
				
				
				신고
			
			
			",6
"58","
			
			
			
				어메이징 스파이더맨
			
			
			ㅈ노잼./././. 
			
			
			
				
				
				
				신고
			
			
			",6
"59","
			
			
			
				어메이징 스파이더맨
			
			
			오리지날과는 또다른 재미가 있다. 근데 범인은 왜 찾다가 마는거임? 
			
			
			
				
				
				
				신고
			
			
			",6
"60","
			
			
			
				어메이징 스파이더맨
			
			
			스토리는 뭔가 빵 터지는게 없었으나 엠마 미모에 설레고갑니다 
			
			
			
				
				
				
				신고
			
			
			",6
"61","
			
			
			
				어메이징 스파이더맨
			
			
			안좋은 평이 많은데...토비에 익숙해져 있는 사람들에겐 어쩔수 없다 치더라도, 너무 심하게 깎아내린거 같다..난 개인적으로 이전의 스파이더맨 보다 훨씬 액션씬도 좋고~ 스토리 전개도 지루하지 않아서 푹 빠져서 봤다 
			
			
			
				
				
				
				신고
			
			
			",7
"62","
			
			
			
				어메이징 스파이더맨
			
			
			그리 나쁘진 않은데?(공백채우기) 
			
			
			
				
				
				
				신고
			
			
			",7
"63","
			
			
			
				어메이징 스파이더맨
			
			
			기억속의 토비 맥과이어 때문에 이 영화에 거부감을 느껴 안보고있었다가 이제 보게됨.  다보고느낀점... 대박재밌음. 새로운 인물들도 흥미로웠는데,무엇보다도 거미줄의 다양한 활용이 매력있었음. 기존 스파이더맨과 다른시각으로 보여준 것이 좋았음 
			
			
			
				
				
				
				신고
			
			
			",7
"64","
			
			
			
				어메이징 스파이더맨
			
			
			재미있는 스파이더맨~ 
			
			
			
				
				
				
				신고
			
			
			",7
"65","
			
			
			
				어메이징 스파이더맨
			
			
			이영화까는애들은뭐냐토비는 은퇴햇으니어쩔수없이그렇게해놧는데니네들이 뭘모르고 욕하면이거만든작가는어떤기분이겟냐좀 생각좀하고말해라 
			
			
			
				
				
				
				신고
			
			
			",7
