"","value","L1"
"74","
			
			
			
				스파이더맨: 홈커밍
			
			
			말이 참 많은거 같은데..내용이 다르다는거에10점ㅎㅎ 
			
			
			
				
				
				
				신고
			
			
			",8
"75","
			
			
			
				스파이더맨: 홈커밍
			
			
			그냥 저냥 볼만 했어요~~~~ 
			
			
			
				
				
				
				신고
			
			
			",8
"76","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌네 재밌네 재밌네우히 
			
			
			
				
				
				
				신고
			
			
			",8
"77","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌네요...ㅠㅠㅠㅠ 
			
			
			
				
				
				
				신고
			
			
			",8
"78","
			
			
			
				스파이더맨: 홈커밍
			
			
			토비의 스파이더맨과는 전혀다른 영화. 토비의 스파이더맨이 고뇌와 우울함을 깔고들어가면, 이 영화는 밝고 유쾌하다 
			
			
			
				
				
				
				신고
			
			
			",8
"79","
			
			
			
				스파이더맨: 홈커밍
			
			
			고맙다 내 휴가때 개봉해줘서 
			
			
			
				
				
				
				신고
			
			
			",8
"80","
			
			
			
				스파이더맨: 홈커밍
			
			
			아... 인내심!!! 
			
			
			
				
				
				
				신고
			
			
			",8
"81","
			
			
			
				스파이더맨: 홈커밍
			
			
			스파이더맨 너무 귀엽다 ㅠㅠ 
			
			
			
				
				
				
				신고
			
			
			",9
"82","
			
			
			
				스파이더맨: 홈커밍
			
			
			중간중간 나오던 스타크 >_<  귀여웠어요 
			
			
			
				
				
				
				신고
			
			
			",9
"83","
			
			
			
				스파이더맨: 홈커밍
			
			
			생각보다 재밌었습니다 
			
			
			
				
				
				
				신고
			
			
			",9
"84","
			
			
			
				스파이더맨: 홈커밍
			
			
			괜찮인?가나다라마바사 
			
			
			
				
				
				
				신고
			
			
			",9
"85","
			
			
			
				스파이더맨: 홈커밍
			
			
			이전 스파이더맨과는 느낌이 많이 다릅니다 볼만해요 
			
			
			
				
				
				
				신고
			
			
			",9
"86","
			
			
			
				스파이더맨: 홈커밍
			
			
			더럽게재미없다 돈보다 시간이더아까울정도 
			
			
			
				
				
				
				신고
			
			
			",9
"87","
			
			
			
				스파이더맨: 홈커밍
			
			
			쉴툼없는 재미 강추!!!! 
			
			
			
				
				
				
				신고
			
			
			",9
"88","
			
			
			
				스파이더맨: 홈커밍
			
			
			좀 유치햇는데 볼만햇어요~ 
			
			
			
				
				
				
				신고
			
			
			",9
"89","
			
			
			
				스파이더맨: 홈커밍
			
			
			역시 기대를 저버리지않는 스파이더맨~~~~!!쵝오~ 
			
			
			
				
				
				
				신고
			
			
			",9
"90","
			
			
			
				스파이더맨: 홈커밍
			
			
			마블치고 약하다는 생각밖에 안듬개연성부족에 
			
			
			
				
				
				
				신고
			
			
			",9
"91","
			
			
			
				스파이더맨: 홈커밍
			
			
			마블은 항상 기대를 만들고 실망시키지 않는다. 주인 품에 돌아간 스파이더맨 어서 성장하기를!! 
			
			
			
				
				
				
				신고
			
			
			",10
"92","
			
			
			
				스파이더맨: 홈커밍
			
			
			그래도 오리지널 스파이더맨이 보고 싶었어요 
			
			
			
				
				
				
				신고
			
			
			",10
"93","
			
			
			
				스파이더맨: 홈커밍
			
			
			별로였음. 유치하고. 심지어 웃기려는의도적인부분도 전혀. 웃기지않음. 주인공목소리는 집중이안되고.이제껏스파이더맨이름에먹칠이라생각됨. 
			
			
			
				
				
				
				신고
			
			
			",10
"94","
			
			
			
				스파이더맨: 홈커밍
			
			
			친절한 이웃  스파이더맨 
			
			
			
				
				
				
				신고
			
			
			",10
"95","
			
			
			
				스파이더맨: 홈커밍
			
			
			역시나 꿀잼~ 아이언맨 클라스 어디가나! 
			
			
			
				
				
				
				신고
			
			
			",10
"96","
			
			
			
				스파이더맨: 홈커밍
			
			
			쿠키영상 기다린 보람이있었다. ㅎ ㅎ 
			
			
			
				
				
				
				신고
			
			
			",10
"97","
			
			
			
				스파이더맨: 홈커밍
			
			
			역시스파이더맨 멋있어유 재밌게보고갑니다 
			
			
			
				
				
				
				신고
			
			
			",10
"98","
			
			
			
				스파이더맨: 홈커밍
			
			
			와 내가본히어로물중에 제일재밌었다 .. 
			
			
			
				
				
				
				신고
			
			
			",10
"99","
			
			
			
				스파이더맨: 홈커밍
			
			
			상영시간 내내 지루하지 않은 전개로 흥미진진 했음. 엔딩 시 쿠키영상2개는 잊지말고 보기. 
			
			
			
				
				
				
				신고
			
			
			",10
"100","
			
			
			
				스파이더맨: 홈커밍
			
			
			영화보는 내내 제이미벨 젊은시절을 보는 거 같았음 ㅋㅋ 근데 키도 똑같이 난쟁이 ㅠ 키가 180만 넘었어도 훈남인데 
			
			
			
				
				
				
				신고
			
			
			",10
"101","
			
			
			
				스파이더맨: 홈커밍
			
			
			마블팬으로써 보면 볼만한 정도. 토비 맥과이어의 스파이더맨에 비하면 망작.... 
			
			
			
				
				
				
				신고
			
			
			",11
"102","
			
			
			
				스파이더맨: 홈커밍
			
			
			마블의 존재 이유, 마지막 쿠키 영상 핵재미! 
			
			
			
				
				
				
				신고
			
			
			",11
"103","
			
			
			
				스파이더맨: 홈커밍
			
			
			역시나 마블이네요!!! 
			
			
			
				
				
				
				신고
			
			
			",11
"104","
			
			
			
				스파이더맨: 홈커밍
			
			
			그냥저냥 볼만했어요 좋아요 ㅎㅎ 
			
			
			
				
				
				
				신고
			
			
			",11
"105","
			
			
			
				스파이더맨: 홈커밍
			
			
			시기를 장 택한 영화... 
			
			
			
				
				
				
				신고
			
			
			",11
"106","
			
			
			
				스파이더맨: 홈커밍
			
			
			남자친구는 재밌었다고 하더라구용 전 좀 지루한편이였어요 
			
			
			
				
				
				
				신고
			
			
			",11
"107","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌어요 한번더보고싶네요 
			
			
			
				
				
				
				신고
			
			
			",11
"108","
			
			
			
				스파이더맨: 홈커밍
			
			
			다음편은 뭐죠?? 쿠키영상~캡틴만 나오던데..기대합니다^^ 
			
			
			
				
				
				
				신고
			
			
			",11
"109","
			
			
			
				스파이더맨: 홈커밍
			
			
			오우 세상에 요즘 너무 피곤해서 볼까 말까 고민하다가 영화관으로 기어갔는데 진짜 안봤으면 1년 내내 후회했을 듯 
			
			
			
				
				
				
				신고
			
			
			",11
"110","
			
			
			
				스파이더맨: 홈커밍
			
			
			넘 재밌었셈 ㄹㅇ 쿠키 영상도 끝까지 보고 오셈 ㅇㅇ 
			
			
			
				
				
				
				신고
			
			
			",11
"111","
			
			
			
				스파이더맨: 홈커밍
			
			
			귀엽다쿠키영상끝까지꼭보세여 
			
			
			
				
				
				
				신고
			
			
			",12
"112","
			
			
			
				스파이더맨: 홈커밍
			
			
			인내심이 언제나 필요한건 아니다. 
			
			
			
				
				
				
				신고
			
			
			",12
"113","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌음 리얼 (아무의미없는문장123) 
			
			
			
				
				
				
				신고
			
			
			",12
"114","
			
			
			
				스파이더맨: 홈커밍
			
			
			미성년자 스파이더맨의 입장에서 현실적인 스토리 구성이었습니다. 너무 재미있게 봤고 얼른 후속작도 보고싶네요! 
			
			
			
				
				
				
				신고
			
			
			",12
"115","
			
			
			
				스파이더맨: 홈커밍
			
			
			액션좋고 너무재미있었어요 
			
			
			
				
				
				
				신고
			
			
			",12
"116","
			
			
			
				스파이더맨: 홈커밍
			
			
			인생영화지 마블은 믿고 볼만 합니다 
			
			
			
				
				
				
				신고
			
			
			",12
"117","
			
			
			
				스파이더맨: 홈커밍
			
			
			할리우드 영화의 질이 갈수록 떨어짐. 한국관객을 우섭게 보는 느낌.  개봉만하면 우르르 몰려가서 돈쓰는 행태는 이젠그만 
			
			
			
				
				
				
				신고
			
			
			",12
"118","
			
			
			
				스파이더맨: 홈커밍
			
			
			두번째 쿠키 영상은 황당 그 자체 
			
			
			
				
				
				
				신고
			
			
			",12
"119","
			
			
			
				스파이더맨: 홈커밍
			
			
			기대한보람이있다!! 
			
			
			
				
				
				
				신고
			
			
			",12
"120","
			
			
			
				스파이더맨: 홈커밍
			
			
			보는내내 지루하지는 않았다 
			
			
			
				
				
				
				신고
			
			
			",12
"121","
			
			
			
				스파이더맨: 홈커밍
			
			
			오지구요 지리구요 쩔었구요 
			
			
			
				
				
				
				신고
			
			
			",13
"122","
			
			
			
				스파이더맨: 홈커밍
			
			
			후회안한다고ㅠ 두번이나 봤어 .. 
			
			
			
				
				
				
				신고
			
			
			",13
"123","
			
			
			
				스파이더맨: 홈커밍
			
			
			여태껏본 스파이더맨 시리즈중 최고다 
			
			
			
				
				
				
				신고
			
			
			",13
"124","
			
			
			
				스파이더맨: 홈커밍
			
			
			개인적으로 스파이더맨 시리즈 중 제일 재밌게 봤어요 
			
			
			
				
				
				
				신고
			
			
			",13
"125","
			
			
			
				스파이더맨: 홈커밍
			
			
			개인취향으로 토비스파이더맨이 더나은듯요.. 
			
			
			
				
				
				
				신고
			
			
			",13
